word,word_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
chanson,cr loanword,0,0.109126984,0.129960317,0.134589947,0.137566138,0.139550265,0.141203704,0.144038171,0.146022298,0.146904132,0.14749937,0.148040496,0.148701871,0.148854496,0.149279667,0.149411942,0.149411942,0.149878795,0.150099254,0.150203681,0.150203681,0.150392646,0.150573021,0.150573021,0.151151725,0.15138982,0.15138982,0.151463306,0.15160503,0.15194712,0.152079396,0.152207404,0.152393416,0.152453541,0.152453541,0.15251023,0.15251023,0.152563855,0.152720497,0.152873122,0.152873122,0.152921515,0.153063239,0.153155523,0.153245711,0.153377986,0.153507386,0.153591817,0.153674489,0.153755473
auteur,cr loanword,0,0.008,0.012,0.014666667,0.015166667,0.015166667,0.015166667,0.015166667,0.015416667,0.015861111,0.015861111,0.015861111,0.016027778,0.016027778,0.016027778,0.016161111,0.016286111,0.016403758,0.016403758,0.016824811,0.016824811,0.017110525,0.01765598,0.01765598,0.01765598,0.01765598,0.01765598,0.01765598,0.018013122,0.018082088,0.018082088,0.018146604,0.018146604,0.018146604,0.018146604,0.018146604,0.018146604,0.018254712,0.018254712,0.018305994,0.018305994,0.018305994,0.018305994,0.018305994,0.018396903,0.018396903,0.018396903,0.018396903,0.018480237,0.018480237
a la mode,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
académie,cr loanword,0,0.005988024,0.007984032,0.00998004,0.00998004,0.00998004,0.010978044,0.010978044,0.011227545,0.011449324,0.011449324,0.011812234,0.011978568,0.012592724,0.012877868,0.012877868,0.013127369,0.013479606,0.013479606,0.013479606,0.013579407,0.013674455,0.013674455,0.013761237,0.013844404,0.014083925,0.014083925,0.014083925,0.014083925,0.014152753,0.014152753,0.014281528,0.014281528,0.014342013,0.014342013,0.014399042,0.014399042,0.014452988,0.014452988,0.014606527,0.014656427,0.01485116,0.014898684,0.014991521,0.015036885,0.015036885,0.015080277,0.015122745,0.015122745,0.01516348
après,cr loanword,0,0.02994012,0.03992016,0.04657352,0.047072522,0.047471723,0.048137059,0.049562779,0.050061781,0.050948896,0.051747299,0.05247312,0.052639454,0.053100071,0.053670359,0.053670359,0.05379511,0.054147347,0.054480015,0.054795174,0.054894974,0.054894974,0.054985702,0.055159268,0.055491936,0.055651616,0.055805155,0.056026934,0.056240792,0.05630962,0.05630962,0.056374007,0.056436383,0.056496868,0.056555574,0.056555574,0.056611018,0.056664965,0.056875071,0.05692625,0.057125851,0.0572719,0.057319424,0.057458681,0.057504045,0.0575484,0.057678575,0.057848448,0.057890031,0.057890031
bourgeois,cr loanword,0,0.108,0.165,0.179,0.187,0.191,0.195666667,0.19652381,0.19727381,0.198607143,0.200407143,0.20167987,0.201846537,0.202000383,0.202286097,0.202419431,0.202669431,0.203375313,0.203597535,0.203808061,0.203908061,0.204098538,0.204280356,0.204541225,0.204624559,0.204784559,0.204861482,0.20500963,0.20500963,0.205078595,0.205145262,0.205274294,0.205399294,0.2054599,0.205636371,0.205636371,0.205747482,0.205801536,0.205854168,0.20590545,0.20595545,0.206053011,0.206148249,0.206148249,0.206284613,0.206284613,0.206371569,0.206371569,0.206454902,0.206495719
burlesque,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depanneur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
detente,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ennui,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faux pas,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88E-05,5.88E-05,5.88E-05,5.88E-05,5.88E-05,5.88E-05,5.88E-05,5.88E-05,5.88E-05,5.88E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05,9.59E-05
fete,cr loanword,0,0.026,0.031,0.033,0.034,0.0364,0.0364,0.038114286,0.038614286,0.038614286,0.038814286,0.039541558,0.039541558,0.039541558,0.039684416,0.040084416,0.040459416,0.040577063,0.040688174,0.041003963,0.041003963,0.041099201,0.04119011,0.041364023,0.04153069,0.04161069,0.041841459,0.041841459,0.041841459,0.041910425,0.041910425,0.041910425,0.041972925,0.041972925,0.042031748,0.042031748,0.042031748,0.042031748,0.042137012,0.042188294,0.042188294,0.042237074,0.042237074,0.042423121,0.042423121,0.042423121,0.042423121,0.042465674,0.04250734,0.04250734
fin de siecle,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gite,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jongleur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lycee,cr loanword,0,0.083832335,0.103792415,0.109115103,0.114105123,0.116101131,0.118762475,0.120188195,0.121186199,0.122073314,0.122871717,0.123778993,0.123778993,0.12439315,0.124820866,0.125353134,0.125602635,0.125720048,0.125830937,0.12593599,0.126135591,0.126325687,0.126416414,0.12658998,0.126673147,0.126912668,0.126912668,0.127208373,0.127279659,0.127348487,0.127348487,0.127477262,0.127726763,0.127787248,0.127845954,0.127960012,0.127960012,0.128013958,0.128013958,0.128116317,0.128216117,0.128216117,0.128263641,0.128263641,0.128263641,0.128263641,0.128263641,0.12830611,0.12830611,0.12830611
peloton,cr loanword,0,0,0.001,0.001666667,0.002166667,0.002166667,0.002166667,0.002166667,0.002416667,0.002416667,0.002416667,0.002416667,0.002416667,0.002416667,0.002416667,0.002416667,0.002416667,0.002416667,0.002416667,0.002416667,0.002416667,0.002416667,0.002416667,0.002416667,0.0025,0.0025,0.0025,0.0025,0.002571429,0.002571429,0.002571429,0.002571429,0.002633929,0.002633929,0.002633929,0.002633929,0.002633929,0.002633929,0.002633929,0.002633929,0.002683929,0.002683929,0.002683929,0.002683929,0.002683929,0.002728373,0.002728373,0.002728373,0.00277004,0.00277004
proletariat,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rendezvous,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salon,cr loanword,0,0.004,0.004,0.004666667,0.004666667,0.004666667,0.005,0.005285714,0.005285714,0.005285714,0.005285714,0.005467532,0.005467532,0.005467532,0.005467532,0.005467532,0.005967532,0.006202827,0.006202827,0.006202827,0.006202827,0.006202827,0.006202827,0.006289783,0.006289783,0.006289783,0.006366706,0.006366706,0.006366706,0.006435672,0.006502338,0.006502338,0.006502338,0.006502338,0.006502338,0.006502338,0.006502338,0.006502338,0.006502338,0.006502338,0.006552338,0.006552338,0.006552338,0.00659885,0.00659885,0.006643294,0.006643294,0.006728401,0.006770067,0.006770067
beige,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brochure,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cafe,fr-en loanword,0,0.05511811,0.073818898,0.080380577,0.085793963,0.089730971,0.093011811,0.093855456,0.094839708,0.095933321,0.096523872,0.097955511,0.098775721,0.099229991,0.099229991,0.099492459,0.100476711,0.101634654,0.102290822,0.10301606,0.103606611,0.10370035,0.104326692,0.104497866,0.104661908,0.104819388,0.105122235,0.105413865,0.105624777,0.105828415,0.105959649,0.106213649,0.106336681,0.106336681,0.106452475,0.106564961,0.106893045,0.10699945,0.107103056,0.107204005,0.107253217,0.107349242,0.107349242,0.107395021,0.107484499,0.107484499,0.107527292,0.107527292,0.107650324,0.107730671
camaraderie,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cliche,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clique,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concierge,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coup,fr-en loanword,0,0.019880716,0.027833002,0.033797217,0.034791252,0.037176938,0.039496355,0.041200417,0.042939979,0.044044463,0.045634921,0.047261525,0.047924215,0.048383001,0.048525006,0.048657544,0.049278817,0.049746598,0.05029884,0.050508111,0.050905725,0.051189735,0.05164157,0.051728008,0.051976517,0.051976517,0.05220591,0.052353174,0.052637184,0.052774293,0.052774293,0.052902555,0.053151064,0.053271554,0.053330026,0.05344363,0.053664527,0.05377199,0.05377199,0.053822967,0.053872668,0.053969648,0.054016983,0.054109451,0.054245001,0.05433336,0.054419798,0.054504397,0.054545815,0.054586388
detour,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elite,fr-en loanword,0,0.003992016,0.003992016,0.005988024,0.006487026,0.006487026,0.006487026,0.007342458,0.008090961,0.008534518,0.008534518,0.008715974,0.008715974,0.008869513,0.009297229,0.009563363,0.009812864,0.009930276,0.010152055,0.010362161,0.010561762,0.010561762,0.010743217,0.011263915,0.011347082,0.011426922,0.011580461,0.011654387,0.011725673,0.012000985,0.012200586,0.012458135,0.01252051,0.01252051,0.012579216,0.012693274,0.012693274,0.012693274,0.012745801,0.012950519,0.01300042,0.013097786,0.013240358,0.013333195,0.013423923,0.013423923,0.013510706,0.013553174,0.013594758,0.013635493
ensemble,fr-en loanword,0,0.023762376,0.034653465,0.039933993,0.04339934,0.046963696,0.04960396,0.051301273,0.052043847,0.052923935,0.053914034,0.054994142,0.055159159,0.055463805,0.056029575,0.056293602,0.056417364,0.056533847,0.056753869,0.056858089,0.057254129,0.057254129,0.057344138,0.057774616,0.058104649,0.058263065,0.058339226,0.058559248,0.058771412,0.059112826,0.059112826,0.059368335,0.059368335,0.059428341,0.059777788,0.060060673,0.060115679,0.060276235,0.060380456,0.060431231,0.060480736,0.060480736,0.060575031,0.060667133,0.060712137,0.060800146,0.06092929,0.061013553,0.06117857,0.061218982
etiquette,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facade,fr-en loanword,0,0.025641026,0.030571992,0.034516765,0.037475345,0.041420118,0.043392505,0.043956044,0.044449141,0.045983219,0.046969412,0.04714872,0.047970548,0.048425714,0.048848368,0.049374338,0.049744161,0.049860183,0.050298491,0.050298491,0.050594349,0.050970042,0.05114935,0.051406618,0.051735349,0.051735349,0.05181121,0.052103415,0.052314743,0.052586796,0.052652542,0.052716167,0.052839442,0.053198057,0.053372091,0.053372091,0.053372091,0.053425399,0.053581114,0.053732836,0.053831455,0.053879562,0.053926524,0.054110002,0.054154829,0.054198659,0.054327293,0.054369259,0.05441035,0.054611614
fine,fr-en loanword,0,0.016,0.018,0.023333333,0.026833333,0.028833333,0.030833333,0.031119048,0.032119048,0.033230159,0.033830159,0.034193795,0.035360462,0.035822,0.035964857,0.036231524,0.036356524,0.036591818,0.037036263,0.037246789,0.037546789,0.037832503,0.038014321,0.038014321,0.038264321,0.038424321,0.038501244,0.038575319,0.038575319,0.038644284,0.038777617,0.03890665,0.03903165,0.039213468,0.039213468,0.039384896,0.039440452,0.039494506,0.039547138,0.039700984,0.039800984,0.039849764,0.039849764,0.039942787,0.039988242,0.039988242,0.040118677,0.040203783,0.04024545,0.040367899
foyer,fr-en loanword,0,0,0,0,0,0.0004,0.000733333,0.001019048,0.001269048,0.00149127,0.00169127,0.002054906,0.00238824,0.002695932,0.002838789,0.003238789,0.003488789,0.00384173,0.004175063,0.00438559,0.00448559,0.004676066,0.004766975,0.004766975,0.004933642,0.004933642,0.005318257,0.005540479,0.005611908,0.005818804,0.006085471,0.006085471,0.006210471,0.006331683,0.006331683,0.006445969,0.006501525,0.006663687,0.006716318,0.006716318,0.006766318,0.006815099,0.006815099,0.006815099,0.006906008,0.007039341,0.007039341,0.007124448,0.007124448,0.007124448
