word,word_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
chanson,cr loanword,0,0.239520958,0.28243513,0.29574185,0.30572189,0.310512309,0.314504325,0.318211197,0.320207205,0.323533885,0.32493109,0.325475456,0.326806128,0.327573823,0.328286683,0.329218154,0.329717156,0.330186805,0.330852141,0.3311673,0.331466701,0.331656797,0.331838252,0.332272167,0.332521668,0.33292087,0.333304717,0.333600422,0.333742994,0.33388065,0.334080251,0.334144638,0.334331764,0.334392249,0.33468578,0.334856866,0.334967755,0.335129594,0.335497279,0.335599639,0.335649539,0.335746905,0.335937001,0.336076258,0.336076258,0.336120613,0.336164005,0.336248941,0.336290525,0.336453464
auteur,cr loanword,0,0.057768924,0.071713147,0.079681275,0.085159363,0.090737052,0.091733068,0.093440524,0.094934548,0.096483906,0.098276734,0.09900111,0.100163128,0.100622828,0.101761132,0.101893934,0.102142938,0.102142938,0.103138954,0.103663173,0.104360384,0.104360384,0.104541478,0.104887918,0.105302925,0.10562165,0.105774883,0.105848662,0.106133238,0.106614073,0.106680474,0.106873252,0.107060004,0.107180734,0.107180734,0.107408394,0.107519063,0.107680579,0.107733001,0.107835156,0.107934758,0.10803193,0.10807936,0.10807936,0.10807936,0.10807936,0.108122665,0.108207432,0.108207432,0.108207432
a la mode,cr loanword,0,0.003333333,0.004333333,0.004555556,0.004722222,0.004722222,0.004833333,0.00502381,0.005107143,0.005181217,0.005181217,0.005241823,0.005352934,0.005352934,0.005352934,0.005352934,0.005394601,0.005394601,0.005431638,0.005431638,0.005431638,0.005431638,0.005431638,0.005431638,0.005459416,0.005459416,0.005459416,0.005484107,0.005484107,0.005484107,0.005484107,0.005484107,0.005484107,0.005484107,0.005484107,0.005503155,0.005503155,0.005503155,0.005503155,0.005503155,0.005503155,0.005519415,0.005519415,0.005534919,0.005534919,0.005549733,0.005549733,0.005549733,0.005549733,0.005549733
académie,cr loanword,0,0.025641026,0.051282051,0.064431295,0.073800131,0.080111769,0.08339908,0.084526158,0.086991641,0.089183181,0.090366613,0.090904537,0.091397634,0.092156244,0.092719783,0.093508738,0.093755286,0.093871309,0.094090463,0.094401892,0.094500512,0.094782281,0.094961589,0.095133101,0.095379649,0.095458545,0.095458545,0.095531596,0.095602038,0.095738065,0.095803811,0.095931062,0.095931062,0.09611037,0.096168381,0.096281089,0.096335877,0.096442493,0.096442493,0.096493067,0.096493067,0.096541174,0.096541174,0.096632913,0.096632913,0.096632913,0.096632913,0.096632913,0.096674004,0.09675451
après,cr loanword,0,0.070038911,0.093385214,0.110894942,0.118190661,0.120914397,0.124805447,0.127584769,0.131719011,0.134529214,0.136085634,0.13714683,0.138768101,0.140264659,0.141515353,0.14203416,0.142763732,0.143450388,0.143774642,0.144286623,0.144773004,0.145050936,0.1457584,0.14618134,0.146586658,0.147209226,0.147284054,0.147644336,0.147922269,0.148391878,0.148716132,0.149218203,0.149279001,0.149396912,0.149511354,0.149566941,0.149675026,0.149675026,0.149726224,0.150025535,0.150122811,0.150265167,0.150450455,0.150540945,0.150585161,0.150628395,0.150755277,0.150796671,0.150918267,0.15103738
bourgeois,cr loanword,0,0.284,0.318,0.332,0.338,0.3396,0.3406,0.341171429,0.342171429,0.342393651,0.343193651,0.344102742,0.344602742,0.34506428,0.345492852,0.345759518,0.345884518,0.346237459,0.346348571,0.346453834,0.346553834,0.346649072,0.346649072,0.346822985,0.346822985,0.346902985,0.346902985,0.346902985,0.346974413,0.346974413,0.34704108,0.347170112,0.347232612,0.347293218,0.347352042,0.347352042,0.347352042,0.347352042,0.347457305,0.347457305,0.347457305,0.347457305,0.347504924,0.347551436,0.347551436,0.347640325,0.347640325,0.347640325,0.347640325,0.347721957
burlesque,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depanneur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
détente,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ennui,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
