word,word_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
chanson,cr loanword,0,0.155688623,0.200598802,0.21922821,0.234697272,0.244677312,0.250332668,0.253469252,0.255714761,0.257045433,0.25884184,0.259749116,0.260913454,0.262141767,0.262426911,0.263358381,0.264356385,0.264826034,0.266045817,0.266676135,0.267175137,0.267460281,0.26791392,0.2685214,0.269186736,0.269506098,0.269889945,0.270111724,0.270325582,0.270463238,0.270596305,0.270789467,0.270914217,0.271156158,0.27127357,0.271672772,0.272060884,0.272168777,0.272326356,0.272479895,0.272679496,0.272776862,0.272824386,0.272917224,0.273053315,0.273053315,0.273096707,0.273096707,0.27313829,0.273382699
auteur,cr loanword,0,0.175675676,0.209459459,0.222972973,0.233108108,0.237612613,0.242117117,0.243404118,0.245656371,0.247157872,0.247608323,0.248427323,0.248802699,0.249495699,0.2501392,0.2501392,0.250420732,0.250685703,0.251186203,0.251897441,0.251897441,0.252326441,0.252326441,0.252522289,0.252522289,0.252702469,0.252702469,0.252869303,0.252869303,0.252869303,0.253169603,0.253169603,0.253169603,0.253442603,0.253707574,0.253836274,0.254086525,0.254086525,0.254205064,0.254320564,0.254320564,0.254320564,0.254535064,0.254744576,0.254744576,0.254844676,0.254844676,0.254940517,0.254940517,0.254940517
a la mode,cr loanword,0,0,0.000332005,0.000332005,0.000332005,0.000332005,0.000332005,0.000332005,0.000498008,0.000498008,0.000498008,0.000558373,0.000558373,0.00060945,0.000751738,0.000751738,0.000751738,0.000751738,0.000751738,0.000751738,0.000751738,0.000751738,0.000751738,0.000751738,0.000751738,0.000751738,0.000751738,0.000751738,0.000751738,0.000774635,0.000774635,0.000774635,0.000774635,0.000774635,0.000774635,0.000774635,0.000811525,0.000811525,0.000811525,0.000828551,0.000845151,0.000845151,0.000845151,0.000845151,0.000845151,0.000859907,0.000874342,0.000874342,0.000874342,0.000887893
académie,cr loanword,0,0,0.000992063,0.002314815,0.002314815,0.002314815,0.00297619,0.00297619,0.00297619,0.00297619,0.003174603,0.003174603,0.003174603,0.003479853,0.003479853,0.003479853,0.003479853,0.003479853,0.003479853,0.003479853,0.00357906,0.00357906,0.00357906,0.00357906,0.00357906,0.00373779,0.00373779,0.003811276,0.003811276,0.003811276,0.003811276,0.003811276,0.003811276,0.003811276,0.003811276,0.003811276,0.003811276,0.003811276,0.003811276,0.003811276,0.003811276,0.003811276,0.003811276,0.003857419,0.003857419,0.003857419,0.003943685,0.003943685,0.003943685,0.003984177
après,cr loanword,0,0.118,0.138,0.153333333,0.160333333,0.164733333,0.169733333,0.17287619,0.17612619,0.177903968,0.180103968,0.181558514,0.18222518,0.183302103,0.184587818,0.184987818,0.185862818,0.187039288,0.187261511,0.187682563,0.187982563,0.188458754,0.188549663,0.188897489,0.189314156,0.189634156,0.189634156,0.189856378,0.190284949,0.190353915,0.190553915,0.190811979,0.190936979,0.190997585,0.191174056,0.191345484,0.191345484,0.191345484,0.191503379,0.191759789,0.191809789,0.191809789,0.191905027,0.192184097,0.192320461,0.192364905,0.192408384,0.192450937,0.192492603,0.192574236
bourgeois,cr loanword,0,0.053677932,0.080516899,0.088469185,0.094930417,0.097316103,0.099966865,0.101386917,0.103374988,0.104479472,0.10467828,0.10467828,0.105009625,0.105468411,0.105610416,0.10600803,0.106629302,0.106863193,0.106973642,0.107392183,0.107491586,0.107586257,0.107676623,0.107763061,0.107845898,0.108004943,0.108004943,0.108004943,0.108146948,0.108215503,0.108348041,0.108412172,0.108412172,0.108472417,0.108530889,0.108530889,0.108641338,0.108748801,0.108748801,0.108799777,0.108799777,0.108848267,0.108848267,0.108940735,0.109257019,0.109257019,0.109257019,0.109299319,0.109464991,0.109464991
burlesque,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depanneur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
détente,cr loanword,0,0.14,0.159,0.167666667,0.174666667,0.179066667,0.1814,0.183685714,0.184185714,0.184852381,0.185252381,0.185797835,0.186464502,0.186618348,0.186761205,0.187161205,0.187286205,0.187286205,0.187397317,0.187713106,0.187813106,0.18809882,0.18809882,0.18809882,0.188265487,0.188505487,0.188659333,0.188733407,0.188733407,0.188733407,0.188800074,0.188800074,0.188800074,0.188800074,0.188858897,0.18891604,0.188971596,0.18902565,0.18902565,0.189076932,0.189076932,0.189076932,0.189076932,0.189123444,0.189123444,0.189123444,0.189166922,0.189209475,0.189251142,0.189291958
ennui,cr loanword,0,0.04040404,0.047979798,0.066498316,0.070286195,0.070286195,0.071127946,0.073292448,0.073923761,0.074484929,0.074989979,0.074989979,0.075410855,0.075410855,0.075771605,0.075771605,0.075771605,0.075771605,0.075771605,0.076303237,0.076303237,0.076303237,0.076303237,0.076303237,0.076513675,0.076513675,0.076707925,0.076707925,0.0768883,0.0768883,0.07705665,0.077382489,0.077540318,0.077540318,0.077837406,0.077837406,0.077837406,0.077837406,0.077837406,0.077837406,0.077837406,0.077837406,0.077837406,0.07795486,0.07795486,0.078067093,0.078067093,0.078174551,0.078174551,0.078174551
