word,word_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
chanson,cr loanword,0,0.109126984,0.150793651,0.16468254,0.176587302,0.186507937,0.196428571,0.216269841,0.232142857,0.240079365,0.246031746,0.251984127,0.259920635,0.261904762,0.267857143,0.26984127,0.26984127,0.277777778,0.281746032,0.283730159,0.283730159,0.287698413,0.291666667,0.291666667,0.305555556,0.311507937,0.311507937,0.313492063,0.317460317,0.327380952,0.331349206,0.33531746,0.341269841,0.343253968,0.343253968,0.345238095,0.345238095,0.347222222,0.353174603,0.359126984,0.359126984,0.361111111,0.367063492,0.371031746,0.375,0.380952381,0.386904762,0.390873016,0.39484127,0.398809524
auteur,cr loanword,0,0.008,0.016,0.024,0.026,0.026,0.026,0.026,0.028,0.032,0.032,0.032,0.034,0.034,0.034,0.036,0.038,0.04,0.04,0.048,0.048,0.054,0.066,0.066,0.066,0.066,0.066,0.066,0.076,0.078,0.078,0.08,0.08,0.08,0.08,0.08,0.08,0.084,0.084,0.086,0.086,0.086,0.086,0.086,0.09,0.09,0.09,0.09,0.094,0.094
a la mode,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
académie,cr loanword,0,0.005988024,0.00998004,0.015968064,0.015968064,0.015968064,0.021956088,0.021956088,0.023952096,0.025948104,0.025948104,0.02994012,0.031936128,0.03992016,0.043912176,0.043912176,0.047904192,0.053892216,0.053892216,0.053892216,0.055888224,0.057884232,0.057884232,0.05988024,0.061876248,0.067864271,0.067864271,0.067864271,0.067864271,0.069860279,0.069860279,0.073852295,0.073852295,0.075848303,0.075848303,0.077844311,0.077844311,0.079840319,0.079840319,0.085828343,0.087824351,0.095808383,0.097804391,0.101796407,0.103792415,0.103792415,0.105788423,0.107784431,0.107784431,0.109780439
après,cr loanword,0,0.02994012,0.0499002,0.069860279,0.071856287,0.073852295,0.077844311,0.087824351,0.091816367,0.099800399,0.107784431,0.115768463,0.117764471,0.123752495,0.131736527,0.131736527,0.133732535,0.139720559,0.145708583,0.151696607,0.153692615,0.153692615,0.155688623,0.159680639,0.167664671,0.171656687,0.175648703,0.181636727,0.18762475,0.189620758,0.189620758,0.191616766,0.193612774,0.195608782,0.19760479,0.19760479,0.199600798,0.201596806,0.209580838,0.211576846,0.219560878,0.225548902,0.22754491,0.233532934,0.235528942,0.23752495,0.243512974,0.251497006,0.253493014,0.253493014
bourgeois,cr loanword,0,0.108,0.222,0.264,0.296,0.316,0.344,0.35,0.356,0.368,0.386,0.4,0.402,0.404,0.408,0.41,0.414,0.426,0.43,0.434,0.436,0.44,0.444,0.45,0.452,0.456,0.458,0.462,0.462,0.464,0.466,0.47,0.474,0.476,0.482,0.482,0.486,0.488,0.49,0.492,0.494,0.498,0.502,0.502,0.508,0.508,0.512,0.512,0.516,0.518
burlesque,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depanneur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
detente,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ennui,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faux pas,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
fete,cr loanword,0,0.026,0.036,0.042,0.046,0.058,0.058,0.07,0.074,0.074,0.076,0.084,0.084,0.084,0.086,0.092,0.098,0.1,0.102,0.108,0.108,0.11,0.112,0.116,0.12,0.122,0.128,0.128,0.128,0.13,0.13,0.13,0.132,0.132,0.134,0.134,0.134,0.134,0.138,0.14,0.14,0.142,0.142,0.15,0.15,0.15,0.15,0.152,0.154,0.154
fin de siecle,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gite,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jongleur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lycee,cr loanword,0,0.083832335,0.123752495,0.139720559,0.159680639,0.169660679,0.185628743,0.195608782,0.203592814,0.211576846,0.219560878,0.229540918,0.229540918,0.23752495,0.243512974,0.251497006,0.255489022,0.25748503,0.259481038,0.261477046,0.265469062,0.269461078,0.271457086,0.275449102,0.27744511,0.283433134,0.283433134,0.291417166,0.293413174,0.295409182,0.295409182,0.299401198,0.30738523,0.309381238,0.311377246,0.315369261,0.315369261,0.317365269,0.317365269,0.321357285,0.325349301,0.325349301,0.327345309,0.327345309,0.327345309,0.327345309,0.327345309,0.329341317,0.329341317,0.329341317
