word,word_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
chanson,cr loanword,0,0.239520958,0.325349301,0.365269461,0.405189621,0.429141717,0.453093812,0.479041916,0.49500998,0.5249501,0.538922156,0.54491018,0.560878244,0.570858283,0.580838323,0.594810379,0.602794411,0.610778443,0.622754491,0.628742515,0.634730539,0.638722555,0.642714571,0.652694611,0.658682635,0.668662675,0.678642715,0.686626747,0.690618762,0.694610778,0.700598802,0.70259481,0.708582834,0.710578842,0.720558882,0.726546906,0.730538922,0.736526946,0.750499002,0.754491018,0.756487026,0.760479042,0.768463074,0.774451098,0.774451098,0.776447106,0.778443114,0.78243513,0.784431138,0.79241517
auteur,cr loanword,0,0.057768924,0.085657371,0.109561753,0.131474104,0.15936255,0.165338645,0.177290837,0.189243028,0.203187251,0.221115538,0.229083665,0.243027888,0.249003984,0.264940239,0.266932271,0.270916335,0.270916335,0.288844622,0.298804781,0.312749004,0.312749004,0.316733068,0.324701195,0.334661355,0.342629482,0.346613546,0.348605578,0.356573705,0.370517928,0.37250996,0.378486056,0.384462151,0.388446215,0.388446215,0.396414343,0.400398406,0.406374502,0.408366534,0.412350598,0.416334661,0.420318725,0.422310757,0.422310757,0.422310757,0.422310757,0.424302789,0.428286853,0.428286853,0.428286853
a la mode,cr loanword,0,0.003333333,0.005333333,0.006,0.006666667,0.006666667,0.007333333,0.008666667,0.009333333,0.01,0.01,0.010666667,0.012,0.012,0.012,0.012,0.012666667,0.012666667,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.013333333,0.014,0.014,0.014,0.014666667,0.014666667,0.014666667,0.014666667,0.014666667,0.014666667,0.014666667,0.014666667,0.015333333,0.015333333,0.015333333,0.015333333,0.015333333,0.015333333,0.016,0.016,0.016666667,0.016666667,0.017333333,0.017333333,0.017333333,0.017333333,0.017333333
académie,cr loanword,0,0.025641026,0.076923077,0.116370809,0.153846154,0.185404339,0.205128205,0.213017751,0.232741617,0.252465483,0.264299803,0.270216963,0.276134122,0.285996055,0.293885602,0.305719921,0.309664694,0.311637081,0.315581854,0.321499014,0.3234714,0.32938856,0.333333333,0.337278107,0.343195266,0.345167653,0.345167653,0.347140039,0.349112426,0.353057199,0.355029586,0.358974359,0.358974359,0.364891519,0.366863905,0.370808679,0.372781065,0.376725838,0.376725838,0.378698225,0.378698225,0.380670611,0.380670611,0.384615385,0.384615385,0.384615385,0.384615385,0.384615385,0.386587771,0.390532544
après,cr loanword,0,0.070038911,0.116731518,0.1692607,0.19844358,0.212062257,0.23540856,0.254863813,0.287937743,0.313229572,0.328793774,0.340466926,0.359922179,0.379377432,0.39688716,0.404669261,0.416342412,0.428015564,0.43385214,0.443579767,0.453307393,0.459143969,0.474708171,0.484435798,0.494163424,0.509727626,0.511673152,0.521400778,0.529182879,0.542801556,0.552529183,0.568093385,0.570038911,0.573929961,0.577821012,0.579766537,0.583657588,0.583657588,0.585603113,0.597276265,0.601167315,0.607003891,0.614785992,0.618677043,0.620622568,0.622568093,0.628404669,0.630350195,0.63618677,0.642023346
bourgeois,cr loanword,0,0.284,0.352,0.394,0.418,0.426,0.432,0.436,0.444,0.446,0.454,0.464,0.47,0.476,0.482,0.486,0.488,0.494,0.496,0.498,0.5,0.502,0.502,0.506,0.506,0.508,0.508,0.508,0.51,0.51,0.512,0.516,0.518,0.52,0.522,0.522,0.522,0.522,0.526,0.526,0.526,0.526,0.528,0.53,0.53,0.534,0.534,0.534,0.534,0.538
burlesque,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depanneur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
détente,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ennui,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
