word,word_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
chanson,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
auteur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a la mode,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
académie,cr loanword,0,0.005964215,0.009940358,0.009940358,0.011928429,0.019880716,0.019880716,0.027833002,0.029821074,0.033797217,0.03777336,0.03777336,0.039761431,0.039761431,0.045725646,0.051689861,0.053677932,0.053677932,0.055666004,0.059642147,0.059642147,0.059642147,0.06361829,0.06361829,0.06361829,0.06361829,0.06361829,0.06361829,0.065606362,0.065606362,0.067594433,0.069582505,0.069582505,0.071570577,0.071570577,0.073558648,0.073558648,0.07554672,0.07554672,0.081510934,0.083499006,0.085487078,0.085487078,0.085487078,0.085487078,0.085487078,0.085487078,0.085487078,0.085487078,0.085487078
après,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bourgeois,cr loanword,0,0.087649402,0.123505976,0.145418327,0.14940239,0.157370518,0.163346614,0.171314741,0.179282869,0.189243028,0.189243028,0.201195219,0.201195219,0.209163347,0.219123506,0.221115538,0.225099602,0.227091633,0.229083665,0.231075697,0.237051793,0.239043825,0.241035857,0.243027888,0.247011952,0.249003984,0.249003984,0.25498008,0.25498008,0.258964143,0.262948207,0.268924303,0.270916335,0.270916335,0.274900398,0.274900398,0.278884462,0.280876494,0.284860558,0.28685259,0.292828685,0.292828685,0.294820717,0.294820717,0.296812749,0.298804781,0.298804781,0.300796813,0.300796813,0.304780876
burlesque,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depanneur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
detente,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ennui,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faux pas,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fete,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fin de siecle,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gite,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jongleur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lycee,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peloton,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
proletariat,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rendezvous,cr loanword,0,0.004,0.004,0.004,0.006,0.006,0.006,0.006,0.006,0.008,0.008,0.008,0.008,0.01,0.012,0.014,0.014,0.014,0.016,0.018,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.024,0.028,0.028,0.028,0.028,0.028,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.032,0.032,0.034,0.034,0.034,0.034,0.036,0.036,0.036,0.036
salon,cr loanword,0,0,0,0,0,0,0.004,0.004,0.008,0.008,0.008,0.008,0.01,0.01,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.016,0.02,0.02,0.02,0.02,0.024,0.024,0.026,0.026,0.03,0.03,0.034,0.038,0.04
beige,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brochure,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cafe,fr-en loanword,0,0.006,0.02,0.032,0.038,0.046,0.054,0.064,0.072,0.078,0.084,0.096,0.108,0.114,0.122,0.126,0.132,0.136,0.136,0.14,0.144,0.15,0.15,0.152,0.158,0.162,0.17,0.17,0.176,0.182,0.188,0.19,0.198,0.204,0.204,0.21,0.212,0.218,0.222,0.23,0.236,0.238,0.242,0.244,0.246,0.248,0.252,0.256,0.26,0.264
camaraderie,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cliche,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clique,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concierge,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coup,fr-en loanword,0,0.001996008,0.001996008,0.001996008,0.001996008,0.001996008,0.003992016,0.005988024,0.007984032,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.011976048,0.013972056,0.015968064,0.015968064,0.015968064,0.017964072,0.017964072,0.01996008,0.01996008,0.021956088,0.021956088,0.021956088,0.021956088,0.021956088,0.021956088,0.023952096,0.023952096,0.025948104,0.025948104,0.025948104,0.025948104,0.025948104,0.025948104,0.025948104,0.025948104
detour,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elite,fr-en loanword,0,0.001976285,0.001976285,0.001976285,0.003952569,0.003952569,0.003952569,0.007905138,0.009881423,0.009881423,0.009881423,0.011857708,0.015810277,0.019762846,0.023715415,0.023715415,0.0256917,0.0256917,0.0256917,0.0256917,0.0256917,0.0256917,0.027667984,0.029644269,0.029644269,0.029644269,0.029644269,0.029644269,0.029644269,0.029644269,0.029644269,0.029644269,0.031620553,0.035573123,0.035573123,0.035573123,0.037549407,0.037549407,0.037549407,0.037549407,0.037549407,0.037549407,0.039525692,0.041501976,0.045454545,0.049407115,0.049407115,0.051383399,0.053359684,0.061264822
ensemble,fr-en loanword,0,0.003960396,0.013861386,0.01980198,0.025742574,0.02970297,0.035643564,0.03960396,0.041584158,0.045544554,0.053465347,0.061386139,0.061386139,0.063366337,0.065346535,0.071287129,0.077227723,0.083168317,0.087128713,0.091089109,0.097029703,0.104950495,0.106930693,0.108910891,0.108910891,0.112871287,0.114851485,0.116831683,0.122772277,0.126732673,0.134653465,0.136633663,0.138613861,0.140594059,0.146534653,0.154455446,0.154455446,0.154455446,0.154455446,0.154455446,0.156435644,0.156435644,0.156435644,0.156435644,0.156435644,0.158415842,0.158415842,0.162376238,0.162376238,0.162376238
etiquette,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
facade,fr-en loanword,0,0,0.003976143,0.007952286,0.013916501,0.015904573,0.017892644,0.023856859,0.02584493,0.029821074,0.033797217,0.033797217,0.033797217,0.035785288,0.035785288,0.039761431,0.047713718,0.047713718,0.051689861,0.055666004,0.065606362,0.073558648,0.07554672,0.07554672,0.081510934,0.081510934,0.085487078,0.087475149,0.091451292,0.091451292,0.095427435,0.097415507,0.097415507,0.10139165,0.103379722,0.107355865,0.109343936,0.117296223,0.119284294,0.123260437,0.125248509,0.127236581,0.129224652,0.129224652,0.129224652,0.129224652,0.131212724,0.133200795,0.13916501,0.13916501
fine,fr-en loanword,0,0.015904573,0.031809145,0.047713718,0.071570577,0.089463221,0.10139165,0.107355865,0.115308151,0.117296223,0.127236581,0.127236581,0.133200795,0.13916501,0.145129225,0.151093439,0.155069583,0.159045726,0.163021869,0.166998012,0.168986083,0.170974155,0.172962227,0.174950298,0.180914513,0.184890656,0.192842942,0.194831014,0.196819085,0.2027833,0.204771372,0.210735586,0.212723658,0.216699801,0.220675944,0.226640159,0.230616302,0.232604374,0.232604374,0.232604374,0.234592445,0.238568588,0.24055666,0.242544732,0.244532803,0.250497018,0.250497018,0.256461233,0.258449304,0.264413519
