word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
chanson,"[0.46762872, 0.60312426, 0.5680464, 0.49408105, 0.4801864, 0.46603218, 0.45706645, 0.41807234, 0.42511556]","[7117.67724609375, 3024.44140625, 2010.0565185546875, 1514.504638671875, 1143.5399169921875]",[0.04963563 0.0727261  0.33158055 ... 0.28302298 0.28799239 0.38923796],0.16868742384684904,0.48739426176391454
chanson,"[0.46762872, 0.6031243, 0.5680464, 0.4940811, 0.4801864, 0.46603218, 0.45706648, 0.4180724, 0.4251155]","[7117.6826171875, 3024.443359375, 2010.0574951171875, 1514.5052490234375, 1143.540283203125]",[0.04963563 0.0727261  0.33158055 ... 0.28302298 0.28799239 0.38923796],0.16868742384684904,0.48739426176391454
a la mode,"[0.63790405, 0.6347515, 0.5403445, 0.48560804, 0.46830317, 0.4641685, 0.4331521, 0.44236544, 0.4269532]","[1913.6259765625, 1369.3333740234375, 874.1497802734375, 627.789306640625, 479.3814697265625]",[0.03680185 0.29913758 0.12802103 ... 0.24217012 0.23912365 0.14274111],0.14654921237042495,0.24302676976599788
académie,"[0.46215677, 0.4724259, 0.4903087, 0.49979708, 0.44584268, 0.43564507, 0.41276485, 0.41657916, 0.39807782]","[5454.873046875, 3622.39794921875, 2419.2421875, 1669.0203857421875, 1303.60986328125]",[0.28152397 0.27476818 0.28538501 ... 0.0807423  0.28673685 0.25864786],0.16257042996300206,0.30241839494842515
après,"[0.38697714, 0.4477538, 0.4533141, 0.45253277, 0.42793968, 0.39231396, 0.41044438, 0.4036429, 0.40560284]","[7163.4853515625, 4372.88525390625, 3111.315673828125, 2419.33984375, 1941.4215087890625]",[0.54336644 0.65815812 0.59396377 ... 0.54446392 0.54629618 0.64481832],0.1488941428537755,0.5425566806379126
auteur,"[0.40965545, 0.5186235, 0.5349484, 0.51234335, 0.5234114, 0.5316354, 0.5006758, 0.48263654, 0.47636208]","[8240.146484375, 4469.724609375, 2685.09619140625, 1969.4136962890625, 1371.4095458984375]",[0.72378108 0.63480585 0.51207749 ... 0.29937523 0.78393184 0.71400232],0.18749961931805328,0.5427372919171531
a la mode,"[0.6379041, 0.63475174, 0.54034466, 0.48560798, 0.4683031, 0.46416837, 0.43315202, 0.44236538, 0.4269532]","[1913.62646484375, 1369.3319091796875, 874.1489868164062, 627.7890625, 479.3811950683594]",[0.03680185 0.29913758 0.12802103 ... 0.24217012 0.23912365 0.14274111],0.14654921237042495,0.24302676976599788
académie,"[0.46215677, 0.4724259, 0.4903087, 0.4997971, 0.44584268, 0.43564513, 0.41276485, 0.41657916, 0.39807782]","[5454.87060546875, 3622.398193359375, 2419.24169921875, 1669.0206298828125, 1303.6097412109375]",[0.28152397 0.27476818 0.28538501 ... 0.0807423  0.28673685 0.25864786],0.16257042996300206,0.30241839494842515
après,"[0.386977, 0.44775376, 0.4533141, 0.4525327, 0.42793968, 0.39231396, 0.4104444, 0.40364283, 0.40560278]","[7163.494140625, 4372.88525390625, 3111.318359375, 2419.34375, 1941.4232177734375]",[0.54336644 0.65815812 0.59396377 ... 0.54446392 0.54629618 0.64481832],0.1488941428537755,0.5425566806379126
bourgeois,"[0.49464154, 0.52749974, 0.49789616, 0.5116285, 0.4971635, 0.47061956, 0.44168377, 0.4443415, 0.43142146]","[4486.7626953125, 2193.284423828125, 1607.6802978515625, 1060.826904296875, 787.948486328125]",[0.27387524 0.29613969 0.31646731 ... 0.42265052 0.36834209 0.12500932],0.12429564175000214,0.26996192975779626
burlesque,"[0.60814613, 0.55587405, 0.56478435, 0.45190433, 0.4392953, 0.44331887, 0.41531384, 0.4254309, 0.4137243]","[2902.51318359375, 1503.7818603515625, 1012.2090454101562, 739.5910034179688, 575.5712890625]",[0.1642482  0.19622158 0.17742669 ... 0.65078843 0.25739332 0.53791652],0.11301998098282963,0.19933067777167443
depanneur,"[0.63934875, 0.6877203, 0.5438244, 0.61594003, 0.6368397, 0.54635096, 0.611248, 0.63954276, 0.6763975]","[474.951904296875, 211.99899291992188, 136.7904510498047, 88.67720031738281, 44.624183654785156]",[0.40248338 0.40938278 0.3119331  ... 0.1093325  0.09150605 0.05771558],0.1921348471200135,0.2716297481936838
